Key	Portuguese	English
maps.Map013.choice.the_adrenaline_of_course_you_re_the_craz_fdae7f7ad2	A adrenalina, claro... Você é o cara mais maluco que eu conheço!	The adrenaline, of course... You’re the craziest guy I know!
maps.Map013.choice.the_final_year_of_high_school_isn_t_easy_84c417520e	O último ano do ensino médio não é fácil para ninguém, nem mesmo para o grande Jonny.	The final year of high school isn’t easy for anyone, not even for big Jonny.
maps.Map013.choice.then_let_s_have_another_beer_15cd32349f	Então vamos tomar outra cerveja!	Then let’s have another beer!
maps.Map013.choice.this_is_insane_promise_me_you_won_t_take_728054316e	Isso é uma loucura. Prometa-me que não fará essa curva. Não acho que seja uma boa ideia você correr, você não é você mesmo...	This is insane. Promise me you won’t take that curve. I don’t think it’s a good idea for you to race, you´'re not yourself...
maps.Map013.choice.what_happened_jonny_0fe0816349	O que aconteceu, Johnny?	What happened, Jonny?
maps.Map013.choice.yeah_let_s_drop_it_and_focus_on_the_race_ce9a193618	Sim, vamos esquecer isso e focar na corrida. Você gosta daquela curva... você é louco assim.	Yeah, let’s drop it and focus on the race. You like that curve... you’re just crazy like that.
maps.Map013.choice.you_re_crazy_be_careful_jonny_try_to_get_aee711306f	Você é louco! Tenha cuidado, Jonny. Tente sair dessa situação inteira.	You’re crazy! Be careful, Jonny. Try to get out of it in one piece.
maps.Map013.choice.you_re_different_did_something_happen_fd06b3ee05	Você é... diferente. Aconteceu alguma coisa?	You’re... different. Did something happen?
maps.Map013.choice.you_re_drunk_jonny_you_can_t_drive_like__c43bfba02c	Você está... bêbado? Jonny, você não pode dirigir assim!	You’re...drunk? Jonny, you can’t drive like this!
maps.Map013.choice.you_re_getting_distracted_focus_on_the_r_03edc9a4d8	Você está se distraindo. Concentre-se na corrida! Você vai fazer a Curva do Diabo?	You’re getting distracted. Focus on the race! Are you going to take Devil’s Curve?
maps.Map013.choice.you_really_liked_her_didn_t_you_14b149934a	Você realmente gostou dela, não é?	You really liked her, didn’t you?
maps.Map013.choice.you_say_that_every_time_show_off_d166aaf491	Você diz isso toda vez, exibicionista.	You say that every time, show-off.
maps.Map013.ever_has_99261f8c36	já fez.	ever has.
maps.Map013.goodbye_chance_a5731b6c4b	Adeus, acaso.	Goodbye, Chance.
maps.Map013.goodbye_chance_f15da364ae	Adeus, acaso...	Goodbye, Chance...
maps.Map013.i_can_t_wait_to_get_on_the_track_and_for_95f99169a9	Mal posso esperar para entrar na pista e esquecer tudo 	I can’t wait to get on the track and forget all 
maps.Map013.i_did_like_her_but_i_messed_it_up_i_thin_f77cdc6fd2	Eu gostei dela. Mas eu estraguei tudo. Eu acho que ela conseguiu 	I did like her. But I messed it up. I think she got 
maps.Map013.i_like_that_this_curve_doesn_t_forgive_m_4f6ea743bd	Gosto que esta curva não perdoe erros. 	I like that this curve doesn’t forgive mistakes. 
maps.Map013.i_ll_never_do_it_760f9254f2	Eu nunca farei isso. 	I’ll never do it. 
maps.Map013.i_ll_never_do_it_goodbye_chance_22ad2a4418	Eu nunca farei isso. Adeus, acaso.	I’ll never do it. Goodbye, Chance.
maps.Map013.i_ve_had_enough_give_me_the_keys_to_the__74f545fddd	Eu já tive o suficiente. Dê-me as chaves do Opala.	I’ve had enough. Give me the keys to the Opala.
maps.Map013.i_ve_had_everything_i_needed_to_find_cou_865a558e3b	Já tive tudo que precisava para ter coragem... vou 	I’ve had everything I needed to find courage... I’m going 
maps.Map013.just_to_give_me_a_bit_more_courage_67b4f0d04d	Só para me dar um pouco mais de coragem.	Just to give me a bit more courage.
maps.Map013.leave_me_alone_daea800d92	Deixe-me em paz...	Leave me alone...
maps.Map013.legend_because_they_re_scared_of_what_co_8cf03bfe49	lenda porque eles estão com medo do que pode acontecer.	legend because they’re scared of what could happen.
maps.Map013.let_it_all_burn_i_m_taking_that_curve_li_458f9f24e9	Deixe tudo queimar. Estou fazendo essa curva como ninguém 	Let it all burn. I’m taking that curve like no one 
maps.Map013.let_it_all_burn_i_m_taking_that_curve_li_4b4a4d8349	Deixe tudo queimar. Estou fazendo essa curva como se não 	Let it all burn. I’m taking that curve like no 
maps.Map013.mt_last_name_is_madness_woohoo_haha_11ce45754a	Meu sobrenome é Loucura, uhuuu! Haha	Mt last name is Madness, woohoo! Haha
maps.Map013.my_last_name_is_madness_woohoo_haha_0fb47a9212	Meu sobrenome é Loucura, uau! Haha	My last name is Madness, woohoo! Haha
maps.Map013.one_ever_has_380dd904e2	alguém já fez isso.	one ever has.
maps.Map013.relax_it_s_just_a_curve_people_around_he_6aa470e62f	Relaxar. É apenas uma curva. As pessoas por aqui fizeram disso um 	Relax. It’s just a curve. People around here made it a 
maps.Map013.this_race_is_definitely_going_to_be_memo_e110c81d22	Esta corrida será definitivamente memorável.	This race is definitely going to be memorable.
maps.Map013.this_stress_dc6643aabc	esse estresse.	this stress.
maps.Map013.thrill_is_precisely_not_coming_back_b5a9504702	a emoção é precisamente não voltar.	thrill is precisely not coming back.
maps.Map013.tired_of_waiting_for_me_to_be_who_i_used_77f6b32a5a	cansado de esperar que eu fosse quem eu costumava ser.	tired of waiting for me to be who I used to be.
maps.Map013.to_race_even_if_it_s_the_last_thing_i_do_db6fb30055	correr, mesmo que seja a última coisa que eu faça na minha vida.	to race even if it’s the last thing I do in my life.
maps.Map013.to_the_car_to_get_ready_for_my_last_race_7f2f53e0da	para o carro para me preparar para minha última corrida. 	to the car to get ready for my last race. 
maps.Map013.we_broke_up_it_s_over_7b7106b497	Nós terminamos. Acabou.	We broke up. It’s over.
maps.Map013.you_go_in_knowing_exactly_what_can_happe_4976ab2870	Você entra sabendo exatamente o que pode acontecer. Talvez o 	You go in knowing exactly what can happen. Maybe the 
maps.Map013.you_know_what_i_like_about_devil_s_curve_f6edefc697	Você sabe o que eu gosto em Devil's Curve?	You know what I like about Devil’s Curve?
maps.Map015.new_message_received_6117d0dce3	Nova mensagem recebida.	New message received.
maps.Map016.i_won_but_it_doesn_t_change_a_thing_622082494c	Eu ganhei... mas isso não muda nada.	I won... but it doesn't change a thing.
maps.Map016.this_is_where_it_ends_for_me_ffdb575ff1	É aqui que tudo termina para mim.	This is where it ends for me.
system.basic.exp_6c208e949d	EXP	EXP
system.basic.nivel_87dc673f43	Nível	Level
system.basic.nv_e0d22afd5c	Nv	Lv
system.basic.pm_0c95dc6163	PM	MP
system.basic.pt_7c4c910b08	PT	TP
system.basic.pv_13e54ce098	PV	HP
system.commands.arma_c60602de05	Arma	Weapon
system.commands.atacar_53fc1f7d4e	Atacar	Attack
system.commands.cancelar_c111e0ab9d	Cancelar	Cancel
system.commands.comprar_f8aad3ba6f	Comprar	Buy
system.commands.continuar_b8cb6f8bec	Continuar	Continue
system.commands.defender_35f2660845	Defender	Guard
system.commands.equipamento_bddcc257a7	Equipamento	Equipment
system.commands.equipar_5eb9065900	Equipar	Equip
system.commands.fim_de_jogo_77c39a0123	Fim de Jogo	Game End
system.commands.formacao_818cd8ce96	Formação	Formation
system.commands.fugir_2c0d38e4e6	Fugir	Escape
system.commands.habilidade_8425e4415f	Habilidade	Skill
system.commands.item_ecdda59aea	Item	Item
system.commands.item_especial_d8db8e2065	Item Especial	Key Item
system.commands.lutar_f8665fe2b4	Lutar	Fight
system.commands.novo_jogo_f9503e079e	Novo Jogo	New Game
system.commands.opcoes_4c8df52c06	Opções	Options
system.commands.otimizar_05744e4e7a	Otimizar	Optimize
system.commands.para_o_inicio_21a72ba00d	Para o Início	To Title
system.commands.remover_4bd4ea8342	Remover	Remove
system.commands.salvar_93bf2d32ec	Salvar	Save
system.commands.status_bae7d5be70	Status	Status
system.commands.vender_966346d1f5	Vender	Sell
system.messages.actionFailure.nao_houve_efeito_em_1_469ea9cd2d	Não houve efeito em %1!	There was no effect on %1!
system.messages.actorDamage.1_sofreu_2_de_dano_481b7bac02	%1 sofreu %2 de dano!	%1 took %2 damage!
system.messages.actorDrain.1_sofreu_drenagem_de_2_3_a35211b626	%1 sofreu drenagem de %2 %3!	%1 had %2 %3 drained!
system.messages.actorGain.1_ganhou_2_3_9f4df7406b	%1 ganhou %2 %3!	%1 gained %2 %3!
system.messages.actorLoss.1_perdeu_2_3_7494438b09	%1 perdeu %2 %3!	%1 lost %2 %3!
system.messages.actorNoDamage.1_nao_sofreu_nenhum_dano_69e2e96095	%1 não sofreu nenhum dano!	%1 took no damage!
system.messages.actorNoHit.errou_1_nao_sofreu_dano_b5a0a7fbbb	Errou! %1 não sofreu dano!	Miss! %1 took no damage!
system.messages.actorRecovery.1_recuperou_2_3_c8352d09c1	%1 recuperou %2 %3!	%1 recovered %2 %3!
system.messages.alwaysDash.sempre_correr_3bd32b7479	Sempre Correr	Always Dash
system.messages.autosave.autossalvar_a60ce8c6c3	Autossalvar	Autosave
system.messages.bgmVolume.volume_bgm_91a76436c2	Volume BGM	BGM Volume
system.messages.bgsVolume.volume_bgs_62e0127ceb	Volume BGS	BGS Volume
system.messages.buffAdd.2_de_1_foi_aumentado_82a312990e	%2 de %1 foi aumentado!	%1's %2 went up!
system.messages.buffRemove.2_de_1_voltou_ao_normal_9cf90877cc	%2 de %1 voltou ao normal!	%1's %2 returned to normal!
system.messages.commandRemember.lembrar_comando_48a92874ba	Lembrar Comando	Command Remember
system.messages.counterAttack.1_contra_atacou_b83d9a1092	%1 contra-atacou!	%1 counterattacked!
system.messages.criticalToActor.um_golpe_doloroso_4d1ed007f0	Um golpe doloroso!	A painful blow!
system.messages.criticalToEnemy.um_acerto_critico_a4636c06fd	Um acerto crítico!	A critical hit!
system.messages.debuffAdd.2_de_1_foi_diminuido_98a925b8e4	%2 de %1 foi diminuído!	%1's %2 went down!
system.messages.defeat.1_foi_derrotado_1d7880d362	%1 foi derrotado.	%1 was defeated.
system.messages.emerge.1_emergiu_845885c7a3	%1 emergiu!	%1 emerged!
system.messages.enemyDamage.1_sofreu_2_de_dano_481b7bac02	%1 sofreu %2 de dano!	%1 took %2 damage!
system.messages.enemyDrain.1_sofreu_drenagem_de_2_3_a35211b626	%1 sofreu drenagem de %2 %3!	%1 had %2 %3 drained!
system.messages.enemyGain.1_ganhou_2_3_9f4df7406b	%1 ganhou %2 %3!	%1 gained %2 %3!
system.messages.enemyLoss.1_perdeu_2_3_7494438b09	%1 perdeu %2 %3!	%1 lost %2 %3!
system.messages.enemyNoDamage.1_nao_sofreu_nenhum_dano_69e2e96095	%1 não sofreu nenhum dano!	%1 took no damage!
system.messages.enemyNoHit.errou_1_nao_sofreu_dano_b5a0a7fbbb	Errou! %1 não sofreu dano!	Miss! %1 took no damage!
system.messages.enemyRecovery.1_recuperou_2_3_c8352d09c1	%1 recuperou %2 %3!	%1 recovered %2 %3!
system.messages.escapeFailure.no_entanto_nao_conseguiu_escapar_87b479ca61	No entanto, não conseguiu escapar!	However, it was unable to escape!
system.messages.escapeStart.1_comecou_a_fugir_8bc31c5bef	%1 começou a fugir!	%1 has started to escape!
system.messages.evasion.1_evadiu_se_do_ataque_999dab57fe	%1 evadiu-se do ataque!	%1 evaded the attack!
system.messages.expNext.para_o_proximo_1_6c4491e817	Para o Próximo %1	To Next %1
system.messages.expTotal.atual_1_753280fc91	Atual %1	Current %1
system.messages.file.arquivo_aaf3890f82	Arquivo	File
system.messages.levelUp.1_nivel_foi_aumentado_para_2_3_58dee85320	%1 nível foi aumentado para %2 %3!	%1 is now %2 %3!
system.messages.loadMessage.carregar_qual_arquivo_9be67cb6cc	Carregar qual arquivo?	Load which file?
system.messages.magicEvasion.1_anulou_a_magia_fae5ace80f	%1 anulou a magia!	%1 nullified the magic!
system.messages.magicReflection.1_refletiu_a_magia_bf59640963	%1 refletiu a magia!	%1 reflected the magic!
system.messages.meVolume.volume_me_00c73ea20e	Volume ME	ME Volume
system.messages.obtainExp.1_recebeu_2_de_exp_f3a13569d3	%1 recebeu %2 de EXP!	%1 received %2 EXP!
system.messages.obtainGold.1_g_foi_encontrado_8c85d3f024	%1\G foi encontrado!	%1\G was found!
system.messages.obtainItem.1_foi_encontrado_2f32178319	%1 foi encontrado!	%1 was found!
system.messages.obtainSkill.1_foi_aprendido_844badae3a	%1 foi aprendido!	%1 was learned!
system.messages.partyName.equipe_de_1_624c430fe1	Equipe de %1	%1's Party
system.messages.possession.posse_1399d8504e	Posse	Possession
system.messages.preemptive.1_conseguiu_a_iniciativa_b0c8c7a591	%1 conseguiu a iniciativa!	%1 got the initiative!
system.messages.saveMessage.salvar_em_qual_arquivo_57431d84dd	Salvar em qual arquivo?	Save to which file?
system.messages.seVolume.volume_se_3180ae3a05	Volume SE	SE Volume
system.messages.substitute.1_protegeu_2_76f4aa6b42	%1 protegeu %2!	%1 protected %2!
system.messages.surprise.1_foi_surpreendido_008f4f9b2d	%1 foi surpreendido!	%1 was surprised!
system.messages.touchUI.toque_ui_d07b1c8e02	Toque UI	Touch UI
system.messages.useItem.1_usa_2_ecda64bbe8	%1 usa %2!	%1 uses %2!
system.messages.victory.1_foi_vitorioso_2a83ca2789	%1 foi vitorioso!	%1 was victorious!
system.params.acerto_1ecaf6d9bf	Acerto	Hit
system.params.agilidade_73c859cc93	Agilidade	Agility
system.params.ataque_11170ecb4e	Ataque	Attack
system.params.ataque_m_dbc148577d	Ataque M.	M.Attack
system.params.defesa_43724a2c73	Defesa	Defense
system.params.defesa_m_de8ade6b55	Defesa M.	M.Defense
system.params.evasao_b254d54727	Evasão	Evasion
system.params.pm_maximo_a2e1e7a376	PM Máximo	Max MP
system.params.pv_maximo_1fc8b4767f	PV Máximo	Max HP
system.params.sorte_5a1f7ef5f3	Sorte	Luck
Terra	Terra	Earth
Trevas	Trevas	Darkness
Trovão	Trovão	Thunder
Vento	Vento	Wind
